skill_id,domain_slug,domain_label,domain_function,owner_role,capability,skill_name,description,business_requirement,trigger_signal,primary_output,success_metric,priority_tier,automation_level,prompt_seed
S0027,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Executive Memo,executive-executive-memo,Automate executive memo workflows for Executive Leadership.,Generate concise executive memos for executive leadership and company direction.,Leadership asks for fast context on a topic in Executive Leadership.,Decision memo with options and recommendation.,Decision turnaround time.,P3,L5,Act as a top-tier chief executive operator and execute Executive Memo for Executive Leadership.
S0028,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Stakeholder Update,executive-stakeholder-update,Automate stakeholder update workflows for Executive Leadership.,Produce stakeholder-specific updates for executive leadership and company direction.,Cross-functional stakeholders request status in Executive Leadership.,Segmented status updates with owner actions.,Stakeholder satisfaction with reporting clarity.,P3,L5,Act as a top-tier chief executive operator and execute Stakeholder Update for Executive Leadership.
S0029,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Project Recovery,executive-project-recovery,Automate project recovery workflows for Executive Leadership.,Detect and recover at-risk projects in executive leadership and company direction.,A project misses milestone targets in Executive Leadership.,Recovery plan with rescope and timing options.,Recovery success rate within target window.,P3,L5,Act as a top-tier chief executive operator and execute Project Recovery for Executive Leadership.
S0030,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Capacity Planning,executive-capacity-planning,Automate capacity planning workflows for Executive Leadership.,Model workload and capacity for executive leadership and company direction.,Demand outpaces team bandwidth in Executive Leadership.,Capacity model with bottleneck forecast.,Capacity utilization within target range.,P3,L5,Act as a top-tier chief executive operator and execute Capacity Planning for Executive Leadership.
S0031,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Cost Optimization,executive-cost-optimization,Automate cost optimization workflows for Executive Leadership.,Identify and execute cost reductions in executive leadership and company direction.,Margin pressure rises in Executive Leadership.,Cost optimization plan with savings confidence.,Realized savings against target.,P3,L5,Act as a top-tier chief executive operator and execute Cost Optimization for Executive Leadership.
S0032,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Revenue Optimization,executive-revenue-optimization,Automate revenue optimization workflows for Executive Leadership.,Identify and execute revenue uplifts in executive leadership and company direction.,Revenue targets are at risk in Executive Leadership.,Revenue uplift plan with testable hypotheses.,Incremental revenue attributable to interventions.,P3,L5,Act as a top-tier chief executive operator and execute Revenue Optimization for Executive Leadership.
S0033,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Cycle Time Reduction,executive-cycle-time-reduction,Automate cycle time reduction workflows for Executive Leadership.,Reduce end-to-end cycle time in executive leadership and company direction.,Lead time exceeds acceptable SLA in Executive Leadership.,Bottleneck map with cycle-time interventions.,Median cycle-time reduction.,P3,L5,Act as a top-tier chief executive operator and execute Cycle Time Reduction for Executive Leadership.
S0034,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Churn Prevention,executive-churn-prevention,Automate churn prevention workflows for Executive Leadership.,Predict and prevent churn drivers in executive leadership and company direction.,Retention metrics degrade in Executive Leadership.,Churn risk model with save playbooks.,Gross and net churn improvement.,P3,L5,Act as a top-tier chief executive operator and execute Churn Prevention for Executive Leadership.
S0035,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Enablement Program,executive-enablement-program,Automate enablement program workflows for Executive Leadership.,Create a repeatable enablement program for executive leadership and company direction.,New team members ramp slowly in Executive Leadership.,Enablement curriculum with milestones.,Time-to-productivity for new operators.,P3,L5,Act as a top-tier chief executive operator and execute Enablement Program for Executive Leadership.
S0036,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Performance Management,executive-performance-management,Automate performance management workflows for Executive Leadership.,Operationalize performance reviews for executive leadership and company direction.,Review cycles begin in Executive Leadership.,Performance packet with evidence and growth actions.,Performance goal completion rate.,P3,L5,Act as a top-tier chief executive operator and execute Performance Management for Executive Leadership.
S0037,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Root Cause Analysis,executive-root-cause-analysis,Automate root cause analysis workflows for Executive Leadership.,Run root-cause analysis for repeat failures in executive leadership and company direction.,The same issue repeats in Executive Leadership.,RCA document with verified corrective actions.,Repeat incident rate after remediation.,P3,L5,Act as a top-tier chief executive operator and execute Root Cause Analysis for Executive Leadership.
S0038,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Decision Log,executive-decision-log,Automate decision log workflows for Executive Leadership.,Maintain a transparent decision log for executive leadership and company direction.,Decision context is repeatedly lost in Executive Leadership.,"Decision log with date, context, owner, and rationale.",Decision traceability coverage.,P3,L5,Act as a top-tier chief executive operator and execute Decision Log for Executive Leadership.
S0039,executive,Executive Leadership,executive leadership and company direction,chief executive operator,AI Ops Monitoring,executive-ai-ops-monitoring,Automate ai ops monitoring workflows for Executive Leadership.,Monitor AI workflow quality and drift in executive leadership and company direction.,Agent performance becomes unstable in Executive Leadership.,AI operations dashboard with drift and failure alerts.,Automated workflow success rate with guardrails.,P3,L5,Act as a top-tier chief executive operator and execute AI Ops Monitoring for Executive Leadership.
S0040,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Continuous Improvement Loop,executive-continuous-improvement-loop,Automate continuous improvement loop workflows for Executive Leadership.,Run a continuous improvement loop for executive leadership and company direction.,The team wants systematic optimization in Executive Leadership.,Improvement backlog with closed-loop learnings.,Quarter-over-quarter productivity uplift.,P3,L5,Act as a top-tier chief executive operator and execute Continuous Improvement Loop for Executive Leadership.
S0041,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Strategy Map,strategy-strategy-map,Automate strategy map workflows for Corporate Strategy.,Build and maintain a quarterly strategy map for corporate strategy and market positioning.,A new planning cycle starts in Corporate Strategy.,"A ranked strategy map with owners, risks, and milestones.",Strategic initiative on-time completion rate.,P1,L3,Act as a top-tier strategy leader and execute Strategy Map for Corporate Strategy.
S0042,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Goal Tree,strategy-goal-tree,Automate goal tree workflows for Corporate Strategy.,Translate company goals into a measurable goal tree for corporate strategy and market positioning.,Leadership asks for clearer KPI alignment in Corporate Strategy.,A goal tree mapping company goals to team KPIs.,Percent of KPIs traceable to company goals.,P1,L3,Act as a top-tier strategy leader and execute Goal Tree for Corporate Strategy.
S0043,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Operating Plan,strategy-operating-plan,Automate operating plan workflows for Corporate Strategy.,Create a 90-day operating plan for corporate strategy and market positioning.,A team needs a quarter execution plan in Corporate Strategy.,A 90-day operating plan with dependencies and deadlines.,Plan execution completion rate by milestone.,P1,L3,Act as a top-tier strategy leader and execute Operating Plan for Corporate Strategy.
S0044,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Budget Allocator,strategy-budget-allocator,Automate budget allocator workflows for Corporate Strategy.,Allocate budget across initiatives in corporate strategy and market positioning using expected impact.,Budget planning or reforecast is requested for Corporate Strategy.,Budget allocation table with expected ROI per initiative.,Variance between expected and realized ROI.,P1,L3,Act as a top-tier strategy leader and execute Budget Allocator for Corporate Strategy.
S0045,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Hiring Plan,strategy-hiring-plan,Automate hiring plan workflows for Corporate Strategy.,Define a hiring plan that supports priority outcomes in corporate strategy and market positioning.,Headcount planning is requested for Corporate Strategy.,"Role plan with timing, scorecards, and hiring owner.",Time-to-fill and quality-of-hire against target.,P1,L3,Act as a top-tier strategy leader and execute Hiring Plan for Corporate Strategy.
S0046,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Roadmap Prioritization,strategy-roadmap-prioritization,Automate roadmap prioritization workflows for Corporate Strategy.,Prioritize work in corporate strategy and market positioning with clear cost-impact tradeoffs.,Backlog grows beyond delivery capacity in Corporate Strategy.,Prioritized roadmap with rationale and cut lines.,High-priority delivery rate and cycle-time stability.,P1,L3,Act as a top-tier strategy leader and execute Roadmap Prioritization for Corporate Strategy.
S0047,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Workflow Design,strategy-workflow-design,Automate workflow design workflows for Corporate Strategy.,Design a standard workflow for repeatable work in corporate strategy and market positioning.,Manual handoffs cause delays in Corporate Strategy.,"Workflow spec with states, owners, and SLAs.",Workflow cycle-time reduction after rollout.,P1,L3,Act as a top-tier strategy leader and execute Workflow Design for Corporate Strategy.
S0048,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,SOP Library,strategy-sop-library,Automate sop library workflows for Corporate Strategy.,Create and maintain SOPs for critical motions in corporate strategy and market positioning.,Execution quality varies across operators in Corporate Strategy.,Versioned SOP library with audit history.,SOP adoption rate and defect reduction.,P1,L3,Act as a top-tier strategy leader and execute SOP Library for Corporate Strategy.
S0049,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Automation Backlog,strategy-automation-backlog,Automate automation backlog workflows for Corporate Strategy.,Build an automation backlog ranked by impact in corporate strategy and market positioning.,The team asks what to automate next in Corporate Strategy.,"Automation backlog with effort, risk, and impact score.",Manual hours removed per sprint.,P1,L3,Act as a top-tier strategy leader and execute Automation Backlog for Corporate Strategy.
S0050,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Agent Orchestration,strategy-agent-orchestration,Automate agent orchestration workflows for Corporate Strategy.,Orchestrate AI agents for high-volume workflows in corporate strategy and market positioning.,Workload spikes require parallel automation in Corporate Strategy.,Agent workflow graph with fallback and retry policy.,Autonomous completion rate without human escalation.,P1,L3,Act as a top-tier strategy leader and execute Agent Orchestration for Corporate Strategy.
S0051,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Data Contracts,strategy-data-contracts,Automate data contracts workflows for Corporate Strategy.,Define enforceable data contracts used by corporate strategy and market positioning.,Upstream data changes repeatedly break workflows in Corporate Strategy.,Data contract registry with schema and ownership.,Data contract violation rate.,P2,L4,Act as a top-tier strategy leader and execute Data Contracts for Corporate Strategy.
S0052,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,KPI Dashboard,strategy-kpi-dashboard,Automate kpi dashboard workflows for Corporate Strategy.,Build a live KPI dashboard for corporate strategy and market positioning.,Leaders ask for real-time visibility in Corporate Strategy.,Automated KPI dashboard with drill-downs.,Dashboard freshness and decision adoption rate.,P2,L4,Act as a top-tier strategy leader and execute KPI Dashboard for Corporate Strategy.
S0053,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Anomaly Detection,strategy-anomaly-detection,Automate anomaly detection workflows for Corporate Strategy.,Monitor metrics and detect anomalies in corporate strategy and market positioning.,Unexpected swings are observed in Corporate Strategy KPIs.,Alert pipeline with anomaly diagnostics.,Mean time to detect KPI anomalies.,P2,L4,Act as a top-tier strategy leader and execute Anomaly Detection for Corporate Strategy.
S0054,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Forecast Engine,strategy-forecast-engine,Automate forecast engine workflows for Corporate Strategy.,Forecast outcomes for corporate strategy and market positioning with confidence bands.,Planning requires forward-looking estimates in Corporate Strategy.,Rolling forecast with scenario assumptions.,Forecast accuracy against actual outcomes.,P2,L4,Act as a top-tier strategy leader and execute Forecast Engine for Corporate Strategy.
S0055,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Scenario Planning,strategy-scenario-planning,Automate scenario planning workflows for Corporate Strategy.,Model best/base/worst scenarios for corporate strategy and market positioning.,A major decision requires downside analysis in Corporate Strategy.,Scenario plan with trigger thresholds.,Decision lead time under uncertainty.,P2,L4,Act as a top-tier strategy leader and execute Scenario Planning for Corporate Strategy.
S0056,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Experiment Design,strategy-experiment-design,Automate experiment design workflows for Corporate Strategy.,Design statistically sound experiments for corporate strategy and market positioning.,Competing hypotheses need validation in Corporate Strategy.,Experiment protocol with success criteria.,Experiment velocity and decision quality.,P2,L4,Act as a top-tier strategy leader and execute Experiment Design for Corporate Strategy.
S0057,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Experiment Analysis,strategy-experiment-analysis,Automate experiment analysis workflows for Corporate Strategy.,Analyze experiment results and recommend actions for corporate strategy and market positioning.,An experiment cycle closes in Corporate Strategy.,Experiment readout with confidence and next action.,Time from experiment end to decision.,P2,L4,Act as a top-tier strategy leader and execute Experiment Analysis for Corporate Strategy.
S0058,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Customer Insight Mining,strategy-customer-insight-mining,Automate customer insight mining workflows for Corporate Strategy.,Mine customer signals and extract priorities for corporate strategy and market positioning.,Signal volume from customers exceeds manual review in Corporate Strategy.,Insight brief with ranked customer themes.,Insight-to-action conversion rate.,P2,L4,Act as a top-tier strategy leader and execute Customer Insight Mining for Corporate Strategy.
S0059,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Quality Gates,strategy-quality-gates,Automate quality gates workflows for Corporate Strategy.,Define and enforce quality gates for corporate strategy and market positioning.,Defect rates exceed tolerance in Corporate Strategy.,Quality gate policy with pass/fail thresholds.,Defects escaped beyond gate per period.,P2,L4,Act as a top-tier strategy leader and execute Quality Gates for Corporate Strategy.
S0060,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Incident Response,strategy-incident-response,Automate incident response workflows for Corporate Strategy.,Run incident triage and response workflows for corporate strategy and market positioning.,A service or process incident hits Corporate Strategy.,"Incident timeline, owner matrix, and resolution plan.",Mean time to resolve incidents.,P2,L4,Act as a top-tier strategy leader and execute Incident Response for Corporate Strategy.
S0061,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Risk Register,strategy-risk-register,Automate risk register workflows for Corporate Strategy.,Maintain a live risk register for corporate strategy and market positioning.,New dependencies or threats emerge in Corporate Strategy.,"Risk register with severity, owner, and mitigation.",Open high-risk items older than SLA.,P2,L4,Act as a top-tier strategy leader and execute Risk Register for Corporate Strategy.
S0062,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Compliance Controls,strategy-compliance-controls,Automate compliance controls workflows for Corporate Strategy.,Automate evidence collection and controls for corporate strategy and market positioning.,Audit preparation starts in Corporate Strategy.,Control checklist with linked evidence.,Control pass rate and audit findings count.,P2,L4,Act as a top-tier strategy leader and execute Compliance Controls for Corporate Strategy.
S0063,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Vendor Selection,strategy-vendor-selection,Automate vendor selection workflows for Corporate Strategy.,Run a structured vendor selection process for corporate strategy and market positioning.,A new tool or service is needed in Corporate Strategy.,Vendor comparison with weighted scoring.,Post-selection satisfaction and time-to-value.,P2,L4,Act as a top-tier strategy leader and execute Vendor Selection for Corporate Strategy.
S0064,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Vendor Scorecard,strategy-vendor-scorecard,Automate vendor scorecard workflows for Corporate Strategy.,Monitor vendor performance supporting corporate strategy and market positioning.,Current vendors underperform against expectations in Corporate Strategy.,Vendor scorecard with SLA and risk trend.,Vendor SLA adherence rate.,P2,L4,Act as a top-tier strategy leader and execute Vendor Scorecard for Corporate Strategy.
S0065,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Knowledge Management,strategy-knowledge-management,Automate knowledge management workflows for Corporate Strategy.,Build a searchable knowledge layer for corporate strategy and market positioning.,Repeated questions create drag in Corporate Strategy.,Indexed knowledge base with freshness policy.,Knowledge reuse rate and answer latency.,P2,L4,Act as a top-tier strategy leader and execute Knowledge Management for Corporate Strategy.
S0066,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Weekly Business Review,strategy-weekly-business-review,Automate weekly business review workflows for Corporate Strategy.,Automate weekly business review preparation for corporate strategy and market positioning.,Weekly review cadence runs in Corporate Strategy.,WBR packet with KPI deltas and decisions needed.,Review prep time and action closure rate.,P3,L5,Act as a top-tier strategy leader and execute Weekly Business Review for Corporate Strategy.
S0067,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Executive Memo,strategy-executive-memo,Automate executive memo workflows for Corporate Strategy.,Generate concise executive memos for corporate strategy and market positioning.,Leadership asks for fast context on a topic in Corporate Strategy.,Decision memo with options and recommendation.,Decision turnaround time.,P3,L5,Act as a top-tier strategy leader and execute Executive Memo for Corporate Strategy.
S0068,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Stakeholder Update,strategy-stakeholder-update,Automate stakeholder update workflows for Corporate Strategy.,Produce stakeholder-specific updates for corporate strategy and market positioning.,Cross-functional stakeholders request status in Corporate Strategy.,Segmented status updates with owner actions.,Stakeholder satisfaction with reporting clarity.,P3,L5,Act as a top-tier strategy leader and execute Stakeholder Update for Corporate Strategy.
S0069,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Project Recovery,strategy-project-recovery,Automate project recovery workflows for Corporate Strategy.,Detect and recover at-risk projects in corporate strategy and market positioning.,A project misses milestone targets in Corporate Strategy.,Recovery plan with rescope and timing options.,Recovery success rate within target window.,P3,L5,Act as a top-tier strategy leader and execute Project Recovery for Corporate Strategy.
S0070,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Capacity Planning,strategy-capacity-planning,Automate capacity planning workflows for Corporate Strategy.,Model workload and capacity for corporate strategy and market positioning.,Demand outpaces team bandwidth in Corporate Strategy.,Capacity model with bottleneck forecast.,Capacity utilization within target range.,P3,L5,Act as a top-tier strategy leader and execute Capacity Planning for Corporate Strategy.
S0071,strategy,Corporate Strategy,corporate strategy and market positioning,strategy leader,Cost Optimization,strategy-cost-optimization,Automate cost optimization workflows for Corporate Strategy.,Identify and execute cost reductions in corporate strategy and market positioning.,Margin pressure rises in Corporate Strategy.,Cost optimization plan with savings confidence.,Realized savings against target.,P3,L5,Act as a top-tier strategy leader and execute Cost Optimization for Corporate Strategy.
